	Power	Speed#@1m	Dir	RH	AirTemp
	V	m.s-1	deg	%	deg C
15/11/2024 14:11:00	10,9	1,4	263,5	64,2	21,8
15/11/2024 14:12:00	10,9	1,8	319,3	63,9	21,8
15/11/2024 14:13:00	10,9	1,3	262,4	63,9	21,7
15/11/2024 14:14:00	10,9	2,5	264,8	64,0	21,7
15/11/2024 14:15:00	10,9	1,8	301,4	64,7	21,7
15/11/2024 14:16:00	10,9	1,7	276,8	64,9	21,8
15/11/2024 14:17:00	10,9	1,3	234,8	65,1	21,8
15/11/2024 14:18:00	10,9	0,9	253,7	64,6	21,8
15/11/2024 14:19:00	10,9	0,0	240,3	64,4	21,8
15/11/2024 14:20:00	10,9	1,1	254,2	64,3	21,8
15/11/2024 14:21:00	10,9	1,7	255,7	64,0	21,8
15/11/2024 14:22:00	10,9	1,6	246,1	63,7	21,8
15/11/2024 14:23:00	10,9	1,2	224,2	63,6	21,8
15/11/2024 14:24:00	10,9	2,1	252,7	63,5	21,9
15/11/2024 14:25:00	10,9	2,3	266,3	62,7	21,9
15/11/2024 14:26:00	10,9	1,7	256,7	63,0	21,9
15/11/2024 14:27:00	10,9	2,5	258,6	63,4	22,1
15/11/2024 14:28:00	10,9	2,0	281,3	62,9	22,1
15/11/2024 14:29:00	10,9	2,4	260,2	62,6	22,1
15/11/2024 14:30:00	10,9	1,4	285,4	62,6	22,1
15/11/2024 14:31:00	10,9	1,3	259,8	62,7	22,2
15/11/2024 14:32:00	10,9	1,9	254,3	62,3	22,1
15/11/2024 14:33:00	10,9	1,7	272,0	62,2	22,1
15/11/2024 14:34:00	10,9	1,8	267,5	61,9	22,2
15/11/2024 14:35:00	10,9	1,9	279,3	62,0	22,1
15/11/2024 14:36:00	10,9	2,1	287,2	61,9	22,1
15/11/2024 14:37:00	10,9	1,9	263,7	62,3	22,0
15/11/2024 14:38:00	10,9	1,2	293,2	62,6	22,0
15/11/2024 14:39:00	10,9	1,5	245,2	62,6	22,0
15/11/2024 14:40:00	10,9	1,5	240,9	62,7	21,9
15/11/2024 14:41:00	10,9	1,5	308,8	62,7	21,9
15/11/2024 14:42:00	10,9	1,4	233,8	62,3	21,8
15/11/2024 14:43:00	10,9	2,1	264,8	62,5	21,8
15/11/2024 14:44:00	10,9	2,3	269,0	62,2	21,8
15/11/2024 14:45:00	10,9	1,9	232,0	62,8	21,7
15/11/2024 14:46:00	10,9	2,1	288,2	62,8	21,7
15/11/2024 14:47:00	10,9	2,0	226,9	62,3	21,7
15/11/2024 14:48:00	10,9	1,4	244,8	62,2	21,7
15/11/2024 14:49:00	10,9	1,2	274,7	61,8	21,7
15/11/2024 14:50:00	10,9	1,4	287,5	61,6	21,6
15/11/2024 14:51:00	10,9	1,2	243,0	61,6	21,6
15/11/2024 14:52:00	10,9	1,3	239,8	61,6	21,5
15/11/2024 14:53:00	10,9	1,4	257,8	61,6	21,6
15/11/2024 14:54:00	10,9	1,6	241,0	61,3	21,6
15/11/2024 14:55:00	10,9	1,5	246,6	61,2	21,6
15/11/2024 14:56:00	10,9	1,5	267,6	60,9	21,7
15/11/2024 14:57:00	10,9	1,2	218,7	60,6	21,7
15/11/2024 14:58:00	10,9	1,2	244,8	60,3	21,7
15/11/2024 14:59:00	10,9	1,5	274,0	60,2	21,8
15/11/2024 15:00:00	10,9	1,1	224,0	60,2	21,8
15/11/2024 15:01:00	10,9	1,1	265,1	60,3	21,9
